TeamID,TeamName,R1,R2,R3,R4,R5,R6
1207,Duke,0.8401,0.6935,0.5625,0.4381,0.4381,0.2427
1184,Michigan,0.8368,0.6731,0.4806,0.2979,0.2979,0.0923
1173,Purdue,0.8363,0.6355,0.4639,0.2818,0.2818,0.0892
1199,Houston,0.8425,0.6273,0.4439,0.2838,0.2838,0.0829
1213,Arizona,0.8516,0.6706,0.4613,0.2968,0.2968,0.0812
1206,Florida,0.8388,0.6422,0.4666,0.2666,0.2666,0.076
1208,Connecticut,0.8388,0.664,0.4357,0.2019,0.2019,0.064
1194,Iowa St.,0.8466,0.5769,0.3229,0.1775,0.1775,0.0376
1196,Illinois,0.8301,0.6062,0.3264,0.1363,0.1363,0.0307
1203,Gonzaga,0.836,0.5595,0.3238,0.1682,0.1682,0.0286
1212,Arkansas,0.8316,0.5273,0.2388,0.1272,0.1272,0.0212
1150,Virginia,0.8389,0.469,0.2032,0.1083,0.1083,0.0187
1163,Tennessee,0.7726,0.4353,0.1979,0.1033,0.1033,0.0172
1183,Michigan St.,0.84,0.5889,0.262,0.119,0.119,0.0172
1153,Vanderbilt,0.834,0.6074,0.2179,0.0897,0.0897,0.0154
1214,Alabama,0.8102,0.5032,0.1978,0.0974,0.0974,0.0149
1165,St. John's,0.8008,0.3765,0.1575,0.068,0.068,0.0104
1188,Louisville,0.6626,0.2885,0.1465,0.057,0.057,0.007
1181,Nebraska,0.8414,0.4156,0.1633,0.0607,0.0607,0.0066
1159,Texas Tech,0.7729,0.3701,0.1481,0.0616,0.0616,0.0064
1149,Wisconsin,0.7878,0.4956,0.1892,0.0668,0.0668,0.0056
1191,Kentucky,0.5831,0.2617,0.1105,0.0407,0.0407,0.0041
1151,Villanova,0.4884,0.1501,0.0753,0.026,0.026,0.0028
1186,Miami FL,0.5043,0.1712,0.0664,0.0272,0.0272,0.0025
1154,Utah St.,0.5116,0.1518,0.0788,0.0278,0.0278,0.0023
1156,UCLA,0.5807,0.193,0.0835,0.0284,0.0284,0.0022
1169,Santa Clara,0.4957,0.1756,0.0648,0.0275,0.0275,0.0022
1170,Saint Mary's,0.6591,0.2068,0.0946,0.0297,0.0297,0.0021
1193,Kansas,0.826,0.3078,0.0873,0.0294,0.0294,0.0019
1176,Ohio St.,0.6826,0.2425,0.1258,0.0393,0.0393,0.0019
1204,Georgia,0.5914,0.1871,0.069,0.0253,0.0253,0.0018
1195,Iowa,0.4659,0.135,0.0524,0.0165,0.0165,0.0016
1180,North Carolina,0.6346,0.2543,0.0764,0.0202,0.0202,0.0015
1182,Missouri,0.4193,0.146,0.0641,0.0155,0.0155,0.001
1211,BYU,0.4883,0.1774,0.055,0.0159,0.0159,0.001
1161,Texas,0.5117,0.2059,0.0624,0.016,0.016,0.0009
1209,Clemson,0.5341,0.1447,0.0588,0.0187,0.0187,0.0009
1167,SMU,0.3374,0.1255,0.0469,0.0154,0.0154,0.0007
1179,North Carolina St.,0.3654,0.1113,0.0318,0.0079,0.0079,0.0006
1171,Saint Louis,0.4086,0.1097,0.0297,0.0077,0.0077,0.0005
1164,TCU,0.3174,0.0899,0.0334,0.008,0.008,0.0003
1157,UCF,0.3409,0.101,0.0258,0.0055,0.0055,0.0003
1201,High Point,0.166,0.0488,0.0106,0.0023,0.0023,0.0003
1215,Akron,0.2122,0.0597,0.0115,0.0021,0.0021,0.0002
1162,Tennessee St.,0.1534,0.0255,0.0036,0.0009,0.0009,0.0002
1200,Hofstra,0.174,0.036,0.0063,0.0013,0.0013,0.0001
1189,LIU Brooklyn,0.1599,0.0268,0.0042,0.001,0.001,0.0001
1152,VCU,0.2274,0.0655,0.0132,0.0031,0.0031,0.0001
1160,Texas A&M,0.4169,0.1359,0.0414,0.0116,0.0116,0.0001
1205,Furman,0.1575,0.0259,0.0044,0.0009,0.0009,0.0
1192,Kennesaw St.,0.1699,0.0282,0.0041,0.0008,0.0008,0.0
1172,Queens,0.1637,0.0255,0.0048,0.0006,0.0006,0.0
1177,Northern Iowa,0.1992,0.0764,0.0159,0.0037,0.0037,0.0
1148,Wright St.,0.164,0.0265,0.0044,0.0009,0.0009,0.0
1158,Troy,0.1586,0.0291,0.0057,0.0007,0.0007,0.0
1198,Howard,0.1484,0.0275,0.0049,0.0011,0.0011,0.0
1155,UMBC,0.1612,0.0254,0.0045,0.0004,0.0004,0.0
1197,Idaho,0.1612,0.0282,0.0052,0.0007,0.0007,0.0
1178,North Dakota St.,0.1611,0.0302,0.0062,0.0013,0.0013,0.0
1168,Siena,0.1632,0.0301,0.0059,0.0011,0.0011,0.0
1187,McNeese St.,0.2271,0.0754,0.0226,0.006,0.006,0.0
1202,Hawaii,0.1684,0.0272,0.0053,0.001,0.001,0.0
1210,Cal Baptist,0.1898,0.0439,0.0085,0.0017,0.0017,0.0
1175,Penn,0.16,0.0278,0.0043,0.0003,0.0003,0.0
