TeamID,TeamName,R1,R2,R3,R4,R5,R6
1181,Duke,0.9427,0.8425,0.7012,0.5873,0.5873,0.3167
1112,Arizona,0.9395,0.7308,0.4842,0.344,0.344,0.1163
1276,Michigan,0.9497,0.8277,0.6702,0.3862,0.3862,0.0999
1435,Vanderbilt,0.8985,0.7279,0.5347,0.3567,0.3567,0.0998
1222,Houston,0.9528,0.822,0.6181,0.3501,0.3501,0.0931
1235,Iowa St.,0.9536,0.6279,0.4535,0.2717,0.2717,0.0829
1116,Arkansas,0.9267,0.5717,0.3077,0.1671,0.1671,0.0262
1438,Virginia,0.9323,0.4864,0.2518,0.125,0.125,0.0236
1345,Purdue,0.9475,0.4134,0.2766,0.1326,0.1326,0.0217
1385,St. John's,0.8625,0.7704,0.2037,0.1076,0.1076,0.0122
1274,Miami FL,0.753,0.5172,0.2706,0.1035,0.1035,0.012
1246,Kentucky,0.7024,0.3218,0.1526,0.0878,0.0878,0.012
1257,Louisville,0.7624,0.4504,0.3072,0.0782,0.0782,0.0104
1211,Gonzaga,0.9371,0.5282,0.2164,0.0932,0.0932,0.0097
1277,Michigan St.,0.9039,0.4881,0.2871,0.0801,0.0801,0.0072
1228,Illinois,0.9496,0.503,0.1976,0.0697,0.0697,0.0072
1458,Wisconsin,0.8397,0.3957,0.1468,0.0744,0.0744,0.0069
1196,Florida,0.9331,0.362,0.1668,0.0697,0.0697,0.0063
1417,UCLA,0.7999,0.4698,0.2376,0.0653,0.0653,0.005
1403,Texas Tech,0.8453,0.7298,0.2034,0.0535,0.0535,0.0043
1140,BYU,0.5913,0.309,0.1641,0.0478,0.0478,0.0043
1397,Tennessee,0.8855,0.4899,0.1283,0.047,0.047,0.0034
1314,North Carolina,0.627,0.3299,0.0812,0.0346,0.0346,0.0027
1163,Connecticut,0.9406,0.4779,0.1446,0.032,0.032,0.0024
1395,TCU,0.496,0.0817,0.0407,0.0217,0.0217,0.0023
1433,VCU,0.373,0.1631,0.0577,0.0247,0.0247,0.0021
1234,Iowa,0.608,0.4061,0.134,0.0434,0.0434,0.002
1400,Texas,0.4087,0.158,0.0561,0.0199,0.0199,0.0018
1326,Ohio St.,0.504,0.0627,0.0263,0.0169,0.0169,0.0014
1155,Clemson,0.392,0.2258,0.0601,0.0168,0.0168,0.0012
1437,Villanova,0.5921,0.2085,0.048,0.0132,0.0132,0.001
1401,Texas A&M,0.5866,0.0938,0.0273,0.0076,0.0076,0.0006
1208,Georgia,0.4158,0.0632,0.0326,0.0083,0.0083,0.0004
1242,Kansas,0.5457,0.0985,0.0129,0.0052,0.0052,0.0003
1304,Nebraska,0.9043,0.2425,0.1,0.0217,0.0217,0.0003
1387,Saint Louis,0.5842,0.103,0.0586,0.0113,0.0113,0.0002
1388,Saint Mary's,0.4134,0.0794,0.0174,0.0047,0.0047,0.0002
1465,Cal Baptist,0.4543,0.0693,0.0067,0.0018,0.0018,0.0
1220,Hofstra,0.2423,0.0444,0.0047,0.0005,0.0005,0.0
1398,Tennessee St.,0.0464,0.0054,0.0008,0.0001,0.0001,0.0
1295,North Dakota St.,0.0961,0.0097,0.0011,0.0,0.0,0.0
1219,High Point,0.1603,0.027,0.0042,0.0007,0.0007,0.0
1104,Alabama,0.7577,0.1772,0.0252,0.0054,0.0054,0.0
1429,Utah St.,0.4079,0.0492,0.0069,0.001,0.001,0.0
1378,South Florida,0.2376,0.0518,0.0141,0.0011,0.0011,0.0
1281,Missouri,0.247,0.0647,0.0158,0.0024,0.0024,0.0
1202,Furman,0.0594,0.0059,0.0004,0.0002,0.0002,0.0
1224,Howard,0.0503,0.0061,0.0005,0.0001,0.0001,0.0
1365,Santa Clara,0.2976,0.0449,0.0102,0.0022,0.0022,0.0
1103,Akron,0.1547,0.0486,0.0048,0.0006,0.0006,0.0
1225,Idaho,0.0472,0.0048,0.0002,0.0,0.0,0.0
1254,LIU Brooklyn,0.0605,0.0115,0.0013,0.0002,0.0002,0.0
1341,Prairie View A&M,0.0669,0.0061,0.0004,0.0,0.0,0.0
1270,McNeese St.,0.1015,0.0208,0.003,0.0002,0.0002,0.0
1407,Troy,0.0957,0.0088,0.001,0.0,0.0,0.0
1275,Miami OH,0.1145,0.0136,0.0015,0.0001,0.0001,0.0
1335,Penn,0.0504,0.004,0.0005,0.0001,0.0001,0.0
1474,Queens,0.0525,0.0047,0.0001,0.0,0.0,0.0
1320,Northern Iowa,0.1375,0.0618,0.0058,0.0013,0.0013,0.0
1373,Siena,0.0573,0.0131,0.0027,0.0004,0.0004,0.0
1218,Hawaii,0.0733,0.0056,0.0009,0.0,0.0,0.0
1460,Wright St.,0.0677,0.0101,0.0013,0.0002,0.0002,0.0
1416,UCF,0.2001,0.0464,0.0079,0.0009,0.0009,0.0
1244,Kennesaw St.,0.0629,0.0048,0.0003,0.0,0.0,0.0
