season,n_games,ll_v4,ll_gnn,r_residual,optimal_w,optimal_ll,headroom
2003,64,0.577583,0.550724,0.395752,0.380000,0.529335,0.048248
2004,64,0.542939,0.565849,0.481837,0.630000,0.529833,0.013105
2005,64,0.520716,0.637823,0.568522,1.000000,0.520716,0.000000
2006,64,0.577502,0.643629,0.700613,1.000000,0.577502,0.000000
2007,64,0.480835,0.632514,0.625758,1.000000,0.480835,0.000000
2008,64,0.478682,0.675097,0.596068,1.000000,0.478682,0.000000
2009,64,0.508995,0.525073,0.507708,0.600000,0.496855,0.012140
2010,64,0.556448,0.680494,0.539902,1.000000,0.556448,0.000000
2011,67,0.668082,0.630538,0.594680,0.300000,0.622632,0.045450
2012,67,0.536837,0.638816,0.603944,1.000000,0.536837,0.000000
2013,67,0.614193,0.606719,0.666749,0.460000,0.590077,0.024115
2014,67,0.577715,0.562317,0.663462,0.390000,0.554787,0.022929
2015,67,0.478079,0.520235,0.642915,0.890000,0.477461,0.000618
2016,67,0.582949,0.626449,0.604401,0.810000,0.580047,0.002902
2017,67,0.546666,0.503013,0.581335,0.250000,0.496834,0.049832
2018,67,0.582666,0.637739,0.647600,0.850000,0.579899,0.002767
2019,67,0.508817,0.597735,0.566949,0.990000,0.508814,0.000003
2021,66,0.582199,0.674758,0.457979,0.990000,0.582192,0.000006
2022,67,0.643106,0.581008,0.563434,0.230000,0.574425,0.068681
2023,67,0.624094,0.666679,0.592804,0.770000,0.617884,0.006211
2024,67,0.606763,0.634633,0.628318,0.700000,0.598834,0.007929
2025,67,0.468661,0.536521,0.416563,0.810000,0.463885,0.004776
