season,n_games,ll_v4,ll_gnn,r_residual,optimal_w,optimal_ll,headroom
2003,64,0.577583,0.688263,0.189628,1.000000,0.577583,0.000000
2004,64,0.542939,0.544265,0.711905,0.530000,0.532454,0.010485
2005,64,0.520716,0.592632,0.812927,1.000000,0.520716,0.000000
2006,64,0.577502,0.613365,0.862144,1.000000,0.577502,0.000000
2007,64,0.480835,0.563413,0.844712,1.000000,0.480835,0.000000
2008,64,0.478682,0.684445,0.228973,1.000000,0.478682,0.000000
2009,64,0.508995,0.517804,0.696007,0.640000,0.502998,0.005997
2010,64,0.556448,0.623501,0.699217,1.000000,0.556448,0.000000
2011,67,0.668082,0.677910,0.591710,0.580000,0.647616,0.020466
2012,67,0.536837,0.568455,0.639284,0.790000,0.533795,0.003042
2013,67,0.614193,0.591881,0.825721,0.230000,0.590105,0.024087
2014,67,0.577715,0.601513,0.737014,0.750000,0.574582,0.003133
2015,67,0.478079,0.681437,-0.067320,1.000000,0.478079,0.000000
2016,67,0.582949,0.692927,0.191480,0.940000,0.582122,0.000827
2017,67,0.546666,0.678248,0.494721,1.000000,0.546666,0.000000
2018,67,0.582666,0.613444,0.656395,0.680000,0.571353,0.011313
2019,67,0.508817,0.676453,0.227193,1.000000,0.508817,0.000000
2021,66,0.582199,0.698870,0.257589,1.000000,0.582199,0.000000
2022,67,0.643106,0.688702,0.003606,0.690000,0.624813,0.018293
2023,67,0.624094,0.696371,0.180188,0.800000,0.616295,0.007799
2024,67,0.606763,0.684799,-0.025437,0.820000,0.600657,0.006106
2025,67,0.468661,0.530353,0.618083,1.000000,0.468661,0.000000
