season,log_loss,brier_score,accuracy,auc,n_games
2003,0.572992440256819,0.19796846698824216,0.703125,0.76220703125,64
2004,0.5466807739630144,0.1856908196207014,0.6875,0.794677734375,64
2005,0.5275596095551955,0.17581208065920448,0.734375,0.817626953125,64
2006,0.5726072129584588,0.1954208975369046,0.7109375,0.76806640625,64
2007,0.48585678306349667,0.15908687181697034,0.75,0.857421875,64
2008,0.4845140331171835,0.15881691199966824,0.7734375,0.854248046875,64
2009,0.5105136448480191,0.16903782680065318,0.71875,0.83837890625,64
2010,0.5589823076062189,0.19062140990521959,0.7265625,0.777099609375,64
2011,0.660102283022344,0.23236716460781037,0.6417910447761194,0.6959233682334596,67
2012,0.5603696786755316,0.1885151381113205,0.7014925373134329,0.7899309423034083,67
2013,0.592074774276572,0.2044511846137127,0.6791044776119403,0.7482735575852083,67
2014,0.5902028738512028,0.204227995251845,0.6865671641791045,0.7538427266651815,67
2015,0.4933851487092651,0.15892223503714487,0.7611940298507462,0.8560926709734907,67
2016,0.5778095419115423,0.19450734973467276,0.7089552238805971,0.768322566273112,67
2017,0.5401265817222749,0.1831030367703452,0.7238805970149254,0.7979505457785698,67
2018,0.5989335579182797,0.2052802690474391,0.7014925373134329,0.748941857874805,67
2019,0.507974046323682,0.16864468645318256,0.7686567164179104,0.836043662285587,67
2021,0.5984854906636705,0.20753693621267244,0.6666666666666666,0.7435720844811754,66
2022,0.6558998185699515,0.22983705469821528,0.6268656716417911,0.6997104032078413,67
2023,0.630601096389452,0.21787406363297943,0.6791044776119403,0.717086210737358,67
2024,0.5889666467336112,0.20209528018553247,0.6791044776119403,0.7565159278235687,67
2025,0.46892451135839514,0.14978898129589358,0.7985074626865671,0.88126531521497,67
