w,ll_blend
0.000000,0.565018
0.010000,0.564492
0.020000,0.563985
0.030000,0.563496
0.040000,0.563024
0.050000,0.562567
0.060000,0.562124
0.070000,0.561695
0.080000,0.561279
0.090000,0.560876
0.100000,0.560485
0.110000,0.560106
0.120000,0.559738
0.130000,0.559381
0.140000,0.559035
0.150000,0.558699
0.160000,0.558373
0.170000,0.558057
0.180000,0.557751
0.190000,0.557454
0.200000,0.557167
0.210000,0.556888
0.220000,0.556619
0.230000,0.556358
0.240000,0.556106
0.250000,0.555863
0.260000,0.555627
0.270000,0.555401
0.280000,0.555182
0.290000,0.554971
0.300000,0.554769
0.310000,0.554574
0.320000,0.554387
0.330000,0.554208
0.340000,0.554037
0.350000,0.553873
0.360000,0.553716
0.370000,0.553567
0.380000,0.553425
0.390000,0.553291
0.400000,0.553164
0.410000,0.553044
0.420000,0.552931
0.430000,0.552825
0.440000,0.552726
0.450000,0.552635
0.460000,0.552550
0.470000,0.552472
0.480000,0.552401
0.490000,0.552337
0.500000,0.552280
0.510000,0.552230
0.520000,0.552186
0.530000,0.552149
0.540000,0.552119
0.550000,0.552096
0.560000,0.552079
0.570000,0.552069
0.580000,0.552066
0.590000,0.552069
0.600000,0.552079
0.610000,0.552095
0.620000,0.552118
0.630000,0.552148
0.640000,0.552184
0.650000,0.552226
0.660000,0.552276
0.670000,0.552332
0.680000,0.552394
0.690000,0.552463
0.700000,0.552538
0.710000,0.552620
0.720000,0.552709
0.730000,0.552804
0.740000,0.552906
0.750000,0.553014
0.760000,0.553129
0.770000,0.553251
0.780000,0.553379
0.790000,0.553513
0.800000,0.553655
0.810000,0.553803
0.820000,0.553957
0.830000,0.554119
0.840000,0.554287
0.850000,0.554461
0.860000,0.554643
0.870000,0.554831
0.880000,0.555026
0.890000,0.555228
0.900000,0.555437
0.910000,0.555652
0.920000,0.555875
0.930000,0.556104
0.940000,0.556341
0.950000,0.556584
0.960000,0.556835
0.970000,0.557093
0.980000,0.557357
0.990000,0.557630
1.000000,0.557909
