w,ll_blend
0.000000,0.605654
0.010000,0.604293
0.020000,0.602957
0.030000,0.601646
0.040000,0.600359
0.050000,0.599095
0.060000,0.597854
0.070000,0.596636
0.080000,0.595439
0.090000,0.594264
0.100000,0.593110
0.110000,0.591976
0.120000,0.590862
0.130000,0.589769
0.140000,0.588695
0.150000,0.587640
0.160000,0.586604
0.170000,0.585586
0.180000,0.584588
0.190000,0.583607
0.200000,0.582644
0.210000,0.581699
0.220000,0.580772
0.230000,0.579862
0.240000,0.578969
0.250000,0.578093
0.260000,0.577234
0.270000,0.576392
0.280000,0.575566
0.290000,0.574757
0.300000,0.573964
0.310000,0.573187
0.320000,0.572426
0.330000,0.571682
0.340000,0.570953
0.350000,0.570240
0.360000,0.569542
0.370000,0.568860
0.380000,0.568194
0.390000,0.567543
0.400000,0.566907
0.410000,0.566287
0.420000,0.565682
0.430000,0.565092
0.440000,0.564518
0.450000,0.563959
0.460000,0.563415
0.470000,0.562886
0.480000,0.562372
0.490000,0.561873
0.500000,0.561389
0.510000,0.560920
0.520000,0.560467
0.530000,0.560028
0.540000,0.559605
0.550000,0.559196
0.560000,0.558803
0.570000,0.558425
0.580000,0.558062
0.590000,0.557714
0.600000,0.557381
0.610000,0.557064
0.620000,0.556762
0.630000,0.556476
0.640000,0.556205
0.650000,0.555950
0.660000,0.555710
0.670000,0.555486
0.680000,0.555277
0.690000,0.555085
0.700000,0.554908
0.710000,0.554748
0.720000,0.554604
0.730000,0.554476
0.740000,0.554364
0.750000,0.554269
0.760000,0.554191
0.770000,0.554130
0.780000,0.554086
0.790000,0.554059
0.800000,0.554049
0.810000,0.554057
0.820000,0.554083
0.830000,0.554127
0.840000,0.554189
0.850000,0.554269
0.860000,0.554368
0.870000,0.554487
0.880000,0.554624
0.890000,0.554781
0.900000,0.554958
0.910000,0.555156
0.920000,0.555373
0.930000,0.555612
0.940000,0.555873
0.950000,0.556155
0.960000,0.556459
0.970000,0.556786
0.980000,0.557136
0.990000,0.557510
1.000000,0.557909
