w,ll_blend
0.000000,0.632660
0.010000,0.631141
0.020000,0.629641
0.030000,0.628158
0.040000,0.626692
0.050000,0.625244
0.060000,0.623813
0.070000,0.622399
0.080000,0.621001
0.090000,0.619621
0.100000,0.618257
0.110000,0.616909
0.120000,0.615578
0.130000,0.614262
0.140000,0.612963
0.150000,0.611679
0.160000,0.610412
0.170000,0.609160
0.180000,0.607923
0.190000,0.606702
0.200000,0.605496
0.210000,0.604306
0.220000,0.603131
0.230000,0.601971
0.240000,0.600825
0.250000,0.599695
0.260000,0.598580
0.270000,0.597479
0.280000,0.596393
0.290000,0.595322
0.300000,0.594266
0.310000,0.593224
0.320000,0.592197
0.330000,0.591184
0.340000,0.590185
0.350000,0.589201
0.360000,0.588232
0.370000,0.587276
0.380000,0.586335
0.390000,0.585409
0.400000,0.584496
0.410000,0.583598
0.420000,0.582714
0.430000,0.581845
0.440000,0.580990
0.450000,0.580149
0.460000,0.579322
0.470000,0.578509
0.480000,0.577711
0.490000,0.576927
0.500000,0.576157
0.510000,0.575402
0.520000,0.574661
0.530000,0.573934
0.540000,0.573222
0.550000,0.572524
0.560000,0.571841
0.570000,0.571173
0.580000,0.570518
0.590000,0.569879
0.600000,0.569254
0.610000,0.568644
0.620000,0.568049
0.630000,0.567469
0.640000,0.566904
0.650000,0.566354
0.660000,0.565820
0.670000,0.565300
0.680000,0.564796
0.690000,0.564308
0.700000,0.563835
0.710000,0.563378
0.720000,0.562936
0.730000,0.562511
0.740000,0.562102
0.750000,0.561710
0.760000,0.561333
0.770000,0.560974
0.780000,0.560631
0.790000,0.560306
0.800000,0.559998
0.810000,0.559707
0.820000,0.559434
0.830000,0.559179
0.840000,0.558942
0.850000,0.558724
0.860000,0.558524
0.870000,0.558344
0.880000,0.558183
0.890000,0.558041
0.900000,0.557920
0.910000,0.557819
0.920000,0.557740
0.930000,0.557681
0.940000,0.557644
0.950000,0.557629
0.960000,0.557637
0.970000,0.557669
0.980000,0.557724
0.990000,0.557804
1.000000,0.557909
