feature_name,gain,gain_rank
massey_composite,0.20008664,1
massey_MOR,0.122815646,2
adj_em,0.042829044,3
massey_POM,0.028683633,4
kp_WAB,0.025975,5
massey_DOL,0.023460872,6
massey_WOL,0.022916216,7
win_pct_30d,0.016132154,8
late_adj_em,0.013142637,9
season_win_pct,0.012366729,10
massey_RPI,0.012139435,11
win_pct_last10,0.012008445,12
vegas_late_spread_delta,0.01129321,13
vegas_game_count,0.011272039,14
conf_strength,0.010728765,15
kp_TALENT,0.01067069,16
coach_career_f4_apps,0.010664093,17
adj_oe,0.010433884,18
late_adj_de,0.010403134,19
def_or_rate,0.010201453,20
adj_de,0.0101178,21
massey_COL,0.009863433,22
coach_career_games,0.009684199,23
off_to_rate,0.009502808,24
late_adj_oe,0.00942407,25
massey_SAG,0.009233976,26
kp_OREB%,0.00907939,27
kp_KADJ D,0.009035621,28
kp_ELITE SOS,0.008982604,29
efficiency_trend,0.00897872,30
avg_mov_last10,0.008976185,31
late_sos,0.008878512,32
def_to_rate,0.008808997,33
kp_KADJ EM,0.008789672,34
vegas_ats_pct,0.008776282,35
vegas_power_rating,0.008770712,36
vegas_avg_spread,0.00870321,37
conf_tourney_wins,0.008624053,38
def_efg,0.008578954,39
off_ft_rate,0.008447649,40
vegas_consistency,0.00825946,41
rolling_de,0.008254864,42
margin_trend,0.008251495,43
vegas_avg_margin,0.0081354445,44
kp_EXP,0.008025288,45
kp_DREB%,0.0079390695,46
kp_KADJ O,0.007918898,47
adj_tempo,0.007917205,48
kp_TOV%D,0.007890213,49
coach_career_seasons,0.0078087016,50
coach_career_winpct,0.007732311,51
scoring_trend,0.007712124,52
kp_EFG%D,0.0076202373,53
rolling_oe,0.0074609076,54
kp_FTRD,0.007376545,55
off_or_rate,0.0073685134,56
def_ft_rate,0.007247502,57
team_seed_residual_mean_10yr,0.0071715894,58
team_seed_residual_ewma_hl2,0.006978858,59
kp_FTR,0.0069746785,60
kp_BARTHAG,0.0069487155,61
kp_EFG%,0.0068228375,62
off_efg,0.00661457,63
kp_K TEMPO,0.006598883,64
coach_career_wins,0.006329442,65
kp_TOV%,0.005793833,66
conf_tourney_champ,0.0038840303,67
season_avg_mov,0.0034831723,68
coach_career_champs,0.0,69
